"375"$"350"$"Boris 2 Ivković"$"63"$"33"$"0"
"376"$"353"$"Ivica Oh/"$"2"$"1091"$"0"
"377"$"353"$"Davor Šuкer"$"52"$"1"$"0"
"378"$"354"$"P.D5rdai"$"12"$"9212"$"0"
"379"$"354"$"Niko Kovač"$"24"$"185"$"0"
"380"$"356"$"Ivica 01ić"$"73"$"1091"$"0"
"381"$"356"$"Milan Rapaić"$"76"$"1103"$"0"
"382"$"358"$"Mladen Petrić"$"79"$"8466"$"0"
"383"$"361"$"Tomislav Marić"$"48"$"371"$"0"
"384"$"362"$"Marijo Marić"$"35"$"8465"$"0"
"385"$"362"$"Srdjan .Andrić"$"72"$"16071"$"0"
"386"$"364"$"Darijo Srna"$"9"$"9213"$"0"
"387"$"364"$"Dado Pršo"$"55"$"9212"$"0"
"388"$"364"$"Tomislav Marić"$"70"$"371"$"0"
"389"$"364"$"Jerko Lcko"$"76"$"3563"$"0"
"390"$"365"$"Milan Rapaić"$"10"$"1103"$"0"
"391"$"365"$"Milan Rapaić"$"43"$"1103"$"0"
"392"$"366"$"Ivica Olić"$"6"$"1091"$"0"
"393"$"366"$"Boris Živković"$"58"$"33"$"0"
"394"$"367"$"Niko Kovač"$"76"$"185"$"0"
"395"$"368"$"Ivica Mornar"$"77"$"8619"$"0"
"396"$"369"$"Niko Kovač"$"4"$"185"$"0"
"397"$"369"$"Josip Šimunić"$"16"$"203"$"0"
"398"$"369"$"Dovani Rosso"$"71"$"3838"$"0"
"399"$"370"$"Dario Šimić"$"36"$"1096"$"0"
"400"$"371"$"Ivica O1ić"$"48"$"1091"$"0"
"401"$"372"$"Dado Pršo"$"5"$"9212"$"0"
"402"$"373"$"Dado Pršπ"$"61"$"9212"$"0"
"403"$"375"$"Albert Guδmundsson"$"4"$"119009"$"0"
"404"$"375"$"Albert Guδmundsson"$"38"$"119009"$"0"
"405"$"376"$"Ríkharδur Jónsson"$"85"$"119258"$"0"
"406"$"376"$"Ríkharδur Jónsson"$"88"$"119258"$"0"
"407"$"377"$"Halldбr Halldórsson"$"79"$"119069"$"0"
"408"$"378"$"Rikharour Jónsson"$"32"$"119258"$"0"
"409"$"378"$"Rikharour Jónsson"$"38"$"119258"$"0"
"410"$"378"$"Rikharour Jónsson"$"48"$"119258"$"0"
"411"$"378"$"Rikharour Jónsson"$"82"$"119258"$"0"
"412"$"379"$"Rikharour Jónsson"$"52"$"119258"$"0"
"413"$"380"$"pórďur pórбarson"$"7"$"119895"$"0"
"414"$"380"$"Sveinn Teitsson"$"16"$"119948"$"0"
"415"$"380"$"Reynir Póróarson"$"35"$"119990"$"0"
"416"$"382"$"Gunnar Gunnarsson"$"43"$"119032"$"0"
"417"$"383"$"pórour hórδarson"$"29"$"119074"$"0"
"418"$"384"$"Áórбur bóroarson"$"61"$"119993"$"0"
"419"$"384"$"Rikharδur Jónsson"$"78"$"119258"$"0"
"420"$"386"$"komur hóráarson"$"35"$"119992"$"0"
"421"$"386"$"Gunnar S. Guómannsson"$"55"$"119006"$"0"
"422"$"386"$"Gunnar S. Guómannsson"$"85"$"119006"$"0"
"423"$"387"$"Rikharáur Jonsson"$"12 p"$"119258"$"0"
"424"$"388"$"komur Jánsson"$"37"$"119264"$"0"
"425"$"388"$"Rikharáur Jánsson"$"55"$"119258"$"0"
"426"$"390"$"hóráur kór~arson"$"33"$"119987"$"0"
"427"$"390"$"hóráur kór~arson"$"78"$"119987"$"0"
"428"$"390"$"Rikharáur Jonsson"$"82"$"119258"$"0"
"429"$"393"$"komur Jonsson"$"64"$"119264"$"0"
"430"$"394"$"Rikharáur Jonsson"$"1"$"119258"$"0"
"431"$"394"$"hóráur Eóráarson"$"73"$"119993"$"0"
"432"$"395"$"Helgi Björgvinsson"$"49"$"118683"$"0"
"433"$"395"$"komur hóráarson"$"60"$"119992"$"0"
"434"$"396"$"Sveinn Jonsson"$"46"$"119261"$"0"
